age,gender,height_cm,weight_kg,bmi,bmi_category,activity_level,goal,diet_preference,bmr,tdee,calorie_target,diet_plan,workout_plan,fitness_category,fat_pct,water_liters,workout_freq,session_hours,max_bpm,avg_bpm,calories_burned_session
31,Female,151.0,48.8,21.4,Normal,Sedentary,Weight Loss,Vegetarian,1115.8,1339.0,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,28.2,2.0,2,1.48,195,131,969.0
26,Female,160.0,44.3,17.3,Underweight,Light,Weight Loss,Non-Vegetarian,1152.0,1584.0,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,34.7,2.0,3,1.08,186,136,734.0
43,Male,183.0,113.2,33.8,Obese,Active,Maintain Fitness,Vegetarian,2065.8,3563.5,3563.5,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,29.9,2.9,4,1.45,161,134,962.0
19,Female,159.0,60.5,23.93,Normal,Sedentary,Weight Loss,Eggetarian,1342.8,1611.4,1211.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,30.1,2.2,2,1.14,184,128,730.0
37,Male,176.0,124.2,40.1,Obese,Sedentary,Weight Loss,Vegetarian,2162.0,2594.4,2194.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.3,2.8,2,1.5,168,158,1304.0
45,Male,185.0,52.4,15.31,Underweight,Light,Muscle Gain,Non-Vegetarian,1460.2,2007.8,2307.8,High Protein Non-Veg Diet,Beginner Fitness Routine,Moderately Fit,25.2,2.5,3,1.2,186,161,956.0
24,Male,174.0,54.7,18.07,Underweight,Light,Improve Stamina,Vegetarian,1519.5,2089.3,2189.3,High Carb Performance Diet,Beginner Fitness Routine,Moderately Fit,22.9,3.6,3,0.84,160,167,772.0
25,Male,195.0,88.1,23.17,Normal,Sedentary,Weight Loss,Non-Vegetarian,1979.8,2375.8,1975.8,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,22.7,3.0,2,1.41,182,131,1016.0
52,Female,171.0,59.7,20.42,Normal,Light,Muscle Gain,Non-Vegetarian,1244.8,1711.6,2011.6,High Protein Non-Veg Diet,Beginner Fitness Routine,Needs Improvement,34.3,2.0,3,1.23,169,151,836.0
31,Female,154.0,79.7,33.61,Obese,Active,Improve Stamina,Vegetarian,1443.5,2490.0,2590.0,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,26.7,2.3,4,1.03,184,144,742.0
34,Female,162.0,51.0,19.43,Normal,Moderate,Maintain Fitness,Eggetarian,1191.5,1846.8,1846.8,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,30.8,2.4,3,1.42,162,158,1122.0
53,Male,176.0,84.2,27.18,Overweight,Very Active,Improve Stamina,Non-Vegetarian,1682.0,3195.8,3295.8,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,12.8,3.5,5,1.67,165,137,1133.0
57,Male,189.0,122.1,34.18,Obese,Light,Weight Loss,Eggetarian,2122.2,2918.0,2518.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,27.4,3.6,3,1.13,165,134,750.0
21,Male,172.0,96.7,32.69,Obese,Light,Weight Loss,Vegan,1942.0,2670.2,2270.2,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,25.0,2.8,3,1.26,161,151,1046.0
19,Female,179.0,73.0,22.78,Normal,Light,Maintain Fitness,Non-Vegetarian,1592.8,2190.1,2190.1,Balanced Maintenance Diet,Beginner Cardio + Walking,Moderately Fit,27.7,1.6,3,0.81,177,125,506.0
23,Male,160.0,114.8,44.84,Obese,Active,Improve Stamina,Eggetarian,2038.0,3515.6,3615.6,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,21.7,2.7,4,1.47,182,163,1318.0
59,Female,152.0,65.5,28.35,Overweight,Moderate,Maintain Fitness,Vegetarian,1149.0,1781.0,1781.0,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,31.2,2.1,3,1.4,161,162,1021.0
21,Female,152.0,50.3,21.77,Normal,Light,Weight Loss,Vegetarian,1187.0,1632.1,1232.1,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,32.2,2.6,3,1.08,171,154,832.0
46,Female,171.0,61.0,20.86,Normal,Active,Improve Stamina,Vegetarian,1287.8,2221.5,2321.5,High Carb Performance Diet,Cardio Endurance Training,Fit,17.8,2.7,4,1.67,181,153,1150.0
35,Female,162.0,44.6,16.99,Underweight,Sedentary,Maintain Fitness,Vegetarian,1122.5,1347.0,1347.0,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,32.4,2.0,2,0.56,196,157,440.0
43,Female,161.0,58.2,22.45,Normal,Moderate,Muscle Gain,Vegetarian,1212.2,1878.9,2178.9,High Protein Veg Diet,Progressive Strength Training,Moderately Fit,26.4,2.6,3,1.04,179,124,580.0
51,Female,163.0,44.8,16.86,Underweight,Active,Maintain Fitness,Vegetarian,1050.8,1812.6,1812.6,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,33.8,2.1,4,1.08,198,137,666.0
27,Male,163.0,87.5,32.93,Obese,Very Active,Weight Loss,Vegan,1763.8,3351.2,2951.2,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,12.9,3.5,5,1.75,183,135,1299.0
53,Male,174.0,51.8,17.11,Underweight,Moderate,Muscle Gain,Vegetarian,1345.5,2085.5,2385.5,High Protein Veg Diet,Moderate Strength Training,Moderately Fit,21.3,3.7,3,1.23,179,127,773.0
31,Female,170.0,64.4,22.28,Normal,Very Active,Muscle Gain,Vegetarian,1390.5,2641.9,2941.9,High Protein Veg Diet,Progressive Strength Training,Fit,17.3,2.7,5,1.97,160,144,1418.0
48,Female,161.0,67.1,25.89,Overweight,Sedentary,Weight Loss,Non-Vegetarian,1276.2,1531.4,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,33.4,1.5,2,0.62,160,151,421.0
32,Male,160.0,85.9,33.55,Obese,Very Active,Weight Loss,Vegetarian,1704.0,3237.6,2837.6,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,14.5,3.5,5,1.99,176,145,1587.0
25,Female,177.0,65.4,20.88,Normal,Light,Weight Loss,Vegan,1474.2,2027.0,1627.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Moderately Fit,27.6,2.6,3,0.89,160,141,627.0
31,Female,176.0,61.1,19.72,Normal,Active,Maintain Fitness,Vegetarian,1395.0,2406.4,2406.4,Balanced Maintenance Diet,Active Lifestyle Routine,Fit,18.6,2.7,4,1.81,189,150,1358.0
40,Male,165.0,106.5,39.12,Obese,Active,Weight Loss,Eggetarian,1901.2,3279.6,2879.6,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,21.0,3.6,4,1.32,162,162,1176.0
57,Female,152.0,64.0,27.7,Overweight,Very Active,Weight Loss,Non-Vegetarian,1144.0,2173.6,1773.6,Low Calorie Balanced Diet,Moderate Strength Training,Needs Improvement,15.2,2.7,5,1.73,170,129,1004.0
38,Female,154.0,61.4,25.89,Overweight,Moderate,Weight Loss,Vegetarian,1225.5,1899.5,1499.5,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,30.6,2.7,3,1.47,183,131,963.0
33,Female,163.0,40.5,15.24,Underweight,Active,Maintain Fitness,Vegetarian,1097.8,1893.7,1893.7,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,31.9,1.5,4,1.07,181,147,786.0
35,Male,179.0,70.1,21.88,Normal,Moderate,Improve Stamina,Vegan,1649.8,2557.2,2657.2,High Carb Performance Diet,Cardio Endurance Training,Moderately Fit,28.0,2.3,3,1.08,185,125,743.0
41,Male,162.0,94.1,35.86,Obese,Active,Improve Stamina,Non-Vegetarian,1753.5,3024.8,3124.8,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,23.4,3.1,4,1.13,172,139,777.0
43,Male,182.0,55.5,16.76,Underweight,Light,Muscle Gain,Non-Vegetarian,1482.5,2038.4,2338.4,High Protein Non-Veg Diet,Beginner Fitness Routine,Moderately Fit,20.1,2.0,3,1.08,160,124,663.0
42,Female,172.0,53.7,18.15,Underweight,Light,Weight Loss,Non-Vegetarian,1241.0,1706.4,1306.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.8,1.6,3,1.37,183,142,875.0
58,Female,175.0,66.1,21.58,Normal,Sedentary,Weight Loss,Vegetarian,1303.8,1564.6,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,25.2,1.8,2,0.63,169,128,363.0
46,Male,177.0,103.9,33.16,Obese,Sedentary,Improve Stamina,Vegetarian,1920.2,2304.2,2404.2,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,20.9,2.9,2,1.18,194,148,864.0
32,Female,158.0,61.7,24.72,Normal,Very Active,Maintain Fitness,Vegetarian,1283.5,2438.7,2438.7,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,16.6,2.7,5,1.87,183,135,1262.0
18,Female,174.0,52.3,17.27,Underweight,Sedentary,Weight Loss,Vegan,1359.5,1631.4,1231.4,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.4,2.2,2,1.2,187,165,990.0
42,Female,174.0,59.5,19.65,Normal,Very Active,Maintain Fitness,Non-Vegetarian,1311.5,2491.8,2491.8,Balanced Maintenance Diet,Active Lifestyle Routine,Fit,16.4,2.7,5,1.78,195,141,1129.0
24,Female,176.0,72.9,23.53,Normal,Light,Improve Stamina,Vegetarian,1548.0,2128.5,2228.5,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,30.8,1.5,3,0.86,175,127,546.0
26,Female,163.0,76.7,28.87,Overweight,Sedentary,Weight Loss,Vegetarian,1494.8,1793.8,1393.8,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,25.6,1.7,2,1.08,199,139,751.0
41,Male,183.0,72.1,21.53,Normal,Moderate,Maintain Fitness,Vegetarian,1664.8,2580.4,2580.4,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,21.4,2.8,3,1.13,175,133,744.0
18,Female,168.0,54.8,19.42,Normal,Active,Muscle Gain,Vegetarian,1347.0,2323.6,2623.6,High Protein Veg Diet,Progressive Strength Training,Needs Improvement,32.0,2.2,4,1.27,176,158,1003.0
25,Male,188.0,105.0,29.71,Overweight,Moderate,Improve Stamina,Non-Vegetarian,2105.0,3262.8,3362.8,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,21.4,2.3,3,1.34,174,156,1150.0
41,Female,155.0,55.0,22.89,Normal,Active,Muscle Gain,Non-Vegetarian,1152.8,1988.6,2288.6,High Protein Non-Veg Diet,Progressive Strength Training,Needs Improvement,31.4,2.0,4,1.45,175,169,1103.0
28,Male,166.0,81.6,29.61,Overweight,Active,Maintain Fitness,Vegan,1718.5,2964.4,2964.4,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,20.5,3.5,4,1.09,174,153,917.0
34,Female,160.0,75.6,29.53,Overweight,Sedentary,Weight Loss,Non-Vegetarian,1425.0,1710.0,1310.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.1,2.7,2,0.64,193,130,416.0
25,Male,161.0,81.5,31.44,Obese,Active,Weight Loss,Vegetarian,1701.2,2934.6,2534.6,Low Calorie Balanced Diet,Intermediate Cardio + HIIT,Needs Improvement,10.9,3.5,4,1.93,170,159,1688.0
52,Female,169.0,61.5,21.53,Normal,Active,Improve Stamina,Non-Vegetarian,1250.2,2156.6,2256.6,High Carb Performance Diet,Cardio Endurance Training,Fit,15.5,2.7,4,1.8,160,152,1231.0
52,Male,163.0,74.0,27.85,Overweight,Moderate,Improve Stamina,Non-Vegetarian,1503.8,2330.9,2430.9,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,25.7,3.7,3,1.26,174,150,936.0
50,Female,159.0,56.4,22.31,Normal,Light,Maintain Fitness,Non-Vegetarian,1146.8,1576.8,1576.8,Balanced Maintenance Diet,Beginner Cardio + Walking,Needs Improvement,34.3,2.6,3,1.26,185,163,924.0
22,Male,184.0,102.6,30.3,Obese,Moderate,Weight Loss,Non-Vegetarian,2071.0,3210.1,2810.1,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,20.5,2.7,3,1.25,163,153,1052.0
59,Female,157.0,54.6,22.15,Normal,Light,Weight Loss,Non-Vegetarian,1071.2,1472.9,1200.0,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,29.2,2.3,3,0.58,164,169,441.0
56,Male,178.0,129.0,40.71,Obese,Sedentary,Improve Stamina,Non-Vegetarian,2127.5,2553.0,2653.0,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,27.1,2.7,2,1.29,194,126,805.0
58,Male,166.0,103.5,37.56,Obese,Light,Weight Loss,Vegetarian,1787.5,2457.8,2057.8,Low Calorie Balanced Diet,Beginner Cardio + Walking,Needs Improvement,24.6,3.1,3,1.33,172,168,1106.0
45,Female,151.0,59.4,26.05,Overweight,Active,Muscle Gain,Vegetarian,1151.8,1986.9,2286.9,High Protein Veg Diet,Progressive Strength Training,Needs Improvement,33.1,1.9,4,1.15,169,142,735.0
24,Female,179.0,60.1,18.76,Normal,Active,Improve Stamina,Vegetarian,1438.8,2481.9,2581.9,High Carb Performance Diet,Cardio Endurance Training,Fit,15.9,2.7,4,1.97,170,165,1625.0
26,Male,162.0,77.7,29.61,Overweight,Moderate,Maintain Fitness,Vegetarian,1664.5,2580.0,2580.0,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,29.6,3.0,3,1.16,177,126,804.0
25,Female,162.0,41.2,15.7,Underweight,Active,Maintain Fitness,Non-Vegetarian,1138.5,1963.9,1963.9,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,28.9,2.1,4,1.49,193,144,1073.0
29,Male,161.0,58.6,22.61,Normal,Moderate,Maintain Fitness,Vegetarian,1452.2,2250.9,2250.9,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,23.4,2.0,3,1.2,198,122,805.0
51,Male,178.0,109.3,34.5,Obese,Light,Weight Loss,Non-Vegetarian,1955.5,2688.8,2288.8,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,28.7,3.3,3,0.54,182,157,420.0
50,Male,196.0,69.6,18.12,Underweight,Light,Muscle Gain,Eggetarian,1676.0,2304.5,2604.5,High Protein Non-Veg Diet,Beginner Fitness Routine,Moderately Fit,25.6,2.0,3,0.97,166,139,667.0
40,Female,179.0,56.2,17.54,Underweight,Very Active,Maintain Fitness,Vegetarian,1319.8,2507.6,2507.6,Balanced Maintenance Diet,Active Lifestyle Routine,Moderately Fit,17.6,2.7,5,1.79,198,153,1369.0
41,Male,196.0,71.7,18.66,Normal,Sedentary,Improve Stamina,Vegetarian,1742.0,2090.4,2190.4,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,27.3,2.5,2,0.51,162,168,424.0
54,Male,193.0,86.0,23.09,Normal,Very Active,Muscle Gain,Non-Vegetarian,1801.2,3422.3,3722.3,High Protein Non-Veg Diet,Moderate Strength Training,Fit,12.9,3.5,5,1.74,171,163,1404.0
52,Female,159.0,79.4,31.41,Obese,Moderate,Weight Loss,Vegetarian,1366.8,2118.5,1718.5,Low Calorie Balanced Diet,Moderate Strength Training,Needs Improvement,26.6,1.5,3,1.39,166,163,1020.0
57,Female,162.0,78.4,29.87,Overweight,Active,Weight Loss,Vegetarian,1350.5,2329.6,1929.6,Low Calorie Balanced Diet,Moderate Strength Training,Needs Improvement,31.7,2.0,4,1.01,185,149,677.0
39,Female,160.0,55.4,21.64,Normal,Moderate,Maintain Fitness,Vegetarian,1198.0,1856.9,1856.9,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Moderately Fit,26.3,1.6,3,1.44,192,136,979.0
44,Female,155.0,61.7,25.68,Overweight,Active,Muscle Gain,Vegetarian,1204.8,2078.3,2378.3,High Protein Veg Diet,Progressive Strength Training,Needs Improvement,33.1,2.6,4,1.41,196,129,819.0
52,Male,182.0,85.5,25.81,Overweight,Active,Maintain Fitness,Eggetarian,1737.5,2997.2,2997.2,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,14.9,3.5,4,1.78,174,154,1357.0
18,Male,193.0,87.6,23.52,Normal,Active,Maintain Fitness,Vegan,1997.2,3445.2,3445.2,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,11.9,3.5,4,1.72,161,139,1315.0
52,Male,172.0,82.4,27.85,Overweight,Active,Weight Loss,Non-Vegetarian,1644.0,2835.9,2435.9,Low Calorie Balanced Diet,Moderate Strength Training,Needs Improvement,24.4,2.7,4,1.01,166,137,685.0
54,Male,168.0,67.0,23.74,Normal,Light,Improve Stamina,Vegan,1455.0,2000.6,2100.6,High Carb Performance Diet,Beginner Fitness Routine,Moderately Fit,20.5,2.8,3,0.55,191,164,446.0
31,Female,160.0,42.3,16.52,Underweight,Moderate,Improve Stamina,Vegan,1107.0,1715.9,1815.9,High Carb Performance Diet,Cardio Endurance Training,Moderately Fit,25.1,1.9,3,1.09,163,163,888.0
20,Male,199.0,82.7,20.88,Normal,Very Active,Maintain Fitness,Vegetarian,1975.8,3754.0,3754.0,Balanced Maintenance Diet,Intermediate Cardio + HIIT,Fit,14.6,3.5,5,1.69,179,146,1357.0
18,Male,174.0,92.4,30.52,Obese,Sedentary,Improve Stamina,Vegan,1926.5,2311.8,2411.8,High Carb Performance Diet,Beginner Fitness Routine,Needs Improvement,21.3,3.1,2,1.41,195,168,1303.0
22,Female,154.0,63.2,26.65,Overweight,Active,Improve Stamina,Non-Vegetarian,1323.5,2283.0,2383.0,High Carb Performance Diet,Cardio Endurance Training,Needs Improvement,29.5,2.4,4,1.02,191,155,790.0
43,Male,185.0,82.7,24.16,Normal,Active,Maintain Fitness,Vegan,1773.2,3058.8,3058.8,Balanced Maintenance Diet,Active Lifestyle Routine,Needs Improvement,28.2,3.1,4,1.22,187,142,858.0
31,Male,176.0,86.6,27.96,Overweight,Moderate,Weight Loss,Vegan,1816.0,2814.8,2414.8,Low Calorie Balanced Diet,Compound Strength Training,Needs Improvement,28.9,3.3,3,1.29,172,151,1071.0
56,Male,195.0,129.5,34.06,Obese,Sedentary,Weight Loss,Vegetarian,2238.8,2686.6,2286.6,Low Calorie Balanced Diet,Beginner Fitness Routine,Needs Improvement,25.2,3.5,2,1.0,160,129,639.0
