age,gender,weight_kg,height_m,height_cm,bmi,bmi_category,max_bpm,avg_bpm,resting_bpm,session_duration_h,calories_burned,fat_pct,water_intake_l,workout_freq,workout_type,experience_level,bmr,tdee,inferred_goal,fitness_category,diet_plan,workout_plan
21,Male,96.7,1.72,172.0,32.69,Obese,161,151,62,1.26,1046.0,25.0,2.8,3,Strength,1,1942.0,3010.1,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Beginner Fitness Routine
19,Female,73.0,1.79,179.0,22.78,Normal,177,125,61,0.81,506.0,27.7,1.6,3,HIIT,1,1592.8,2468.8,Maintain Fitness,Moderately Fit,High Protein Veg Diet,Intermediate Cardio + HIIT
23,Male,114.8,1.6,160.0,44.84,Obese,182,163,60,1.47,1318.0,21.7,2.7,4,Cardio,2,2038.0,3515.6,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
59,Female,65.5,1.52,152.0,28.35,Overweight,161,162,61,1.4,1021.0,31.2,2.1,3,Yoga,2,1149.0,1781.0,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
21,Female,50.3,1.52,152.0,21.77,Normal,171,154,67,1.08,832.0,32.2,2.6,3,Cardio,1,1187.0,1839.9,Improve Stamina,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
46,Female,61.0,1.71,171.0,20.86,Normal,181,153,61,1.67,1150.0,17.8,2.7,4,Cardio,3,1287.8,2221.5,Improve Stamina,Fit,High Carb Performance Diet,Cardio Endurance Training
35,Female,44.6,1.62,162.0,16.99,Underweight,196,157,65,0.56,440.0,32.4,2.0,2,HIIT,1,1122.5,1543.4,Weight Gain,Needs Improvement,High Protein Veg Diet,Intermediate Cardio + HIIT
43,Female,58.2,1.61,161.0,22.45,Normal,179,124,54,1.04,580.0,26.4,2.6,3,Strength,2,1212.2,1878.9,Muscle Gain,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
51,Female,44.8,1.63,163.0,16.86,Underweight,198,137,69,1.08,666.0,33.8,2.1,4,Yoga,2,1050.8,1812.6,Weight Gain,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
27,Male,87.5,1.63,163.0,32.93,Obese,183,135,74,1.75,1299.0,12.9,3.5,5,Strength,3,1763.8,3351.2,Weight Loss,Fit,High Protein Non-Veg Diet,Compound Strength Training
53,Male,51.8,1.74,174.0,17.11,Underweight,179,127,61,1.23,773.0,21.3,3.7,3,Strength,2,1345.5,2085.5,Weight Gain,Moderately Fit,High Protein Non-Veg Diet,Progressive Strength Training
31,Female,64.4,1.7,170.0,22.28,Normal,160,144,70,1.97,1418.0,17.3,2.7,5,Strength,3,1390.5,2641.9,Muscle Gain,Fit,High Protein Veg Diet,Compound Strength Training
48,Female,67.1,1.61,161.0,25.89,Overweight,160,151,74,0.62,421.0,33.4,1.5,2,Cardio,1,1276.2,1754.8,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Beginner Cardio + Walking
32,Male,85.9,1.6,160.0,33.55,Obese,176,145,60,1.99,1587.0,14.5,3.5,5,HIIT,3,1704.0,3237.6,Weight Loss,Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
25,Female,65.4,1.77,177.0,20.88,Normal,160,141,58,0.89,627.0,27.6,2.6,3,Cardio,1,1474.2,2285.0,Improve Stamina,Moderately Fit,High Carb Performance Diet,Beginner Cardio + Walking
31,Female,61.1,1.76,176.0,19.72,Normal,189,150,67,1.81,1358.0,18.6,2.7,4,Yoga,3,1395.0,2406.4,Maintain Fitness,Fit,Balanced Maintenance Diet,Active Lifestyle Routine
40,Male,106.5,1.65,165.0,39.12,Obese,162,162,74,1.32,1176.0,21.0,3.6,4,HIIT,2,1901.2,3279.6,Weight Loss,Moderately Fit,High Protein Non-Veg Diet,Progressive Strength Training
57,Female,64.0,1.52,152.0,27.7,Overweight,170,129,52,1.73,1004.0,15.2,2.7,5,Strength,3,1144.0,2173.6,Weight Loss,Fit,High Protein Veg Diet,Compound Strength Training
38,Female,61.4,1.54,154.0,25.89,Overweight,183,131,69,1.47,963.0,30.6,2.7,3,HIIT,2,1225.5,1899.5,Weight Loss,Needs Improvement,High Protein Veg Diet,Progressive Strength Training
33,Female,40.5,1.63,163.0,15.24,Underweight,181,147,66,1.07,786.0,31.9,1.5,4,Yoga,2,1097.8,1893.7,Weight Gain,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
35,Male,70.1,1.79,179.0,21.88,Normal,185,125,63,1.08,743.0,28.0,2.3,3,Cardio,2,1649.8,2557.2,Improve Stamina,Moderately Fit,High Carb Performance Diet,Cardio Endurance Training
41,Male,94.1,1.62,162.0,35.86,Obese,172,139,50,1.13,777.0,23.4,3.1,4,Cardio,2,1753.5,3024.8,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
43,Male,55.5,1.82,182.0,16.76,Underweight,160,124,66,1.08,663.0,20.1,2.0,3,Strength,1,1482.5,2297.9,Weight Gain,Moderately Fit,High Protein Non-Veg Diet,Beginner Fitness Routine
42,Female,53.7,1.72,172.0,18.15,Underweight,183,142,74,1.37,875.0,29.8,1.6,3,Cardio,1,1241.0,1923.5,Weight Gain,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
58,Female,66.1,1.75,175.0,21.58,Normal,169,128,57,0.63,363.0,25.2,1.8,2,Cardio,1,1303.8,1792.7,Improve Stamina,Moderately Fit,High Carb Performance Diet,Beginner Cardio + Walking
46,Male,103.9,1.77,177.0,33.16,Obese,194,148,54,1.18,864.0,20.9,2.9,2,Yoga,1,1920.2,2640.3,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
32,Female,61.7,1.58,158.0,24.72,Normal,183,135,54,1.87,1262.0,16.6,2.7,5,HIIT,3,1283.5,2438.7,Maintain Fitness,Fit,High Protein Veg Diet,Intermediate Cardio + HIIT
18,Female,52.3,1.74,174.0,17.27,Underweight,187,165,58,1.2,990.0,29.4,2.2,2,Cardio,1,1359.5,1869.3,Weight Gain,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
42,Female,59.5,1.74,174.0,19.65,Normal,195,141,52,1.78,1129.0,16.4,2.7,5,Yoga,3,1311.5,2491.8,Maintain Fitness,Fit,Balanced Maintenance Diet,Active Lifestyle Routine
24,Female,72.9,1.76,176.0,23.53,Normal,175,127,68,0.86,546.0,30.8,1.5,3,Yoga,1,1548.0,2399.4,Maintain Fitness,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
26,Female,76.7,1.63,163.0,28.87,Overweight,199,139,72,1.08,751.0,25.6,1.7,2,Strength,1,1494.8,2055.3,Weight Loss,Needs Improvement,High Protein Veg Diet,Beginner Fitness Routine
41,Male,72.1,1.83,183.0,21.53,Normal,175,133,58,1.13,744.0,21.4,2.8,3,Yoga,2,1664.8,2580.4,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
18,Female,54.8,1.68,168.0,19.42,Normal,176,158,71,1.27,1003.0,32.0,2.2,4,Strength,2,1347.0,2323.6,Muscle Gain,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
25,Male,105.0,1.88,188.0,29.71,Overweight,174,156,67,1.34,1150.0,21.4,2.3,3,Cardio,2,2105.0,3262.8,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
41,Female,55.0,1.55,155.0,22.89,Normal,175,169,65,1.45,1103.0,31.4,2.0,4,Strength,2,1152.8,1988.6,Muscle Gain,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
28,Male,81.6,1.66,166.0,29.61,Overweight,174,153,50,1.09,917.0,20.5,3.5,4,Yoga,2,1718.5,2964.4,Weight Loss,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
34,Female,75.6,1.6,160.0,29.53,Overweight,193,130,51,0.64,416.0,29.1,2.7,2,HIIT,1,1425.0,1959.4,Weight Loss,Needs Improvement,High Protein Veg Diet,Intermediate Cardio + HIIT
25,Male,81.5,1.61,161.0,31.44,Obese,170,159,63,1.93,1688.0,10.9,3.5,4,HIIT,3,1701.2,2934.6,Weight Loss,Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
52,Female,61.5,1.69,169.0,21.53,Normal,160,152,63,1.8,1231.0,15.5,2.7,4,Cardio,3,1250.2,2156.6,Improve Stamina,Fit,High Carb Performance Diet,Cardio Endurance Training
52,Male,74.0,1.63,163.0,27.85,Overweight,174,150,50,1.26,936.0,25.7,3.7,3,Cardio,2,1503.8,2330.9,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
50,Female,56.4,1.59,159.0,22.31,Normal,185,163,74,1.26,924.0,34.3,2.6,3,HIIT,1,1146.8,1777.5,Maintain Fitness,Needs Improvement,High Protein Veg Diet,Intermediate Cardio + HIIT
22,Male,102.6,1.84,184.0,30.3,Obese,163,153,65,1.25,1052.0,20.5,2.7,3,Strength,2,2071.0,3210.1,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Progressive Strength Training
59,Female,54.6,1.57,157.0,22.15,Normal,164,169,64,0.58,441.0,29.2,2.3,3,Cardio,1,1071.2,1660.4,Improve Stamina,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
56,Male,129.0,1.78,178.0,40.71,Obese,194,126,64,1.29,805.0,27.1,2.7,2,Yoga,1,2127.5,2925.3,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
58,Male,103.5,1.66,166.0,37.56,Obese,172,168,61,1.33,1106.0,24.6,3.1,3,Cardio,1,1787.5,2770.6,Weight Loss,Needs Improvement,Low Calorie Balanced Diet,Beginner Cardio + Walking
45,Female,59.4,1.51,151.0,26.05,Overweight,169,142,65,1.15,735.0,33.1,1.9,4,Strength,2,1151.8,1986.9,Weight Loss,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
24,Female,60.1,1.79,179.0,18.76,Normal,170,165,63,1.97,1625.0,15.9,2.7,4,Cardio,3,1438.8,2481.9,Improve Stamina,Fit,High Carb Performance Diet,Cardio Endurance Training
26,Male,77.7,1.62,162.0,29.61,Overweight,177,126,73,1.16,804.0,29.6,3.0,3,Yoga,2,1664.5,2580.0,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
25,Female,41.2,1.62,162.0,15.7,Underweight,193,144,64,1.49,1073.0,28.9,2.1,4,Yoga,2,1138.5,1963.9,Weight Gain,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
29,Male,58.6,1.61,161.0,22.61,Normal,198,122,72,1.2,805.0,23.4,2.0,3,Yoga,2,1452.2,2250.9,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
51,Male,109.3,1.78,178.0,34.5,Obese,182,157,64,0.54,420.0,28.7,3.3,3,Strength,1,1955.5,3031.0,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Beginner Fitness Routine
50,Male,69.6,1.96,196.0,18.12,Underweight,166,139,68,0.97,667.0,25.6,2.0,3,Strength,1,1676.0,2597.8,Weight Gain,Moderately Fit,High Protein Non-Veg Diet,Beginner Fitness Routine
40,Female,56.2,1.79,179.0,17.54,Underweight,198,153,57,1.79,1369.0,17.6,2.7,5,Yoga,3,1319.8,2507.6,Weight Gain,Fit,Balanced Maintenance Diet,Active Lifestyle Routine
41,Male,71.7,1.96,196.0,18.66,Normal,162,168,51,0.51,424.0,27.3,2.5,2,Yoga,1,1742.0,2395.2,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
54,Male,86.0,1.93,193.0,23.09,Normal,171,163,51,1.74,1404.0,12.9,3.5,5,Strength,3,1801.2,3422.3,Muscle Gain,Fit,High Protein Non-Veg Diet,Compound Strength Training
52,Female,79.4,1.59,159.0,31.41,Obese,166,163,59,1.39,1020.0,26.6,1.5,3,Strength,2,1366.8,2118.5,Weight Loss,Needs Improvement,High Protein Veg Diet,Progressive Strength Training
57,Female,78.4,1.62,162.0,29.87,Overweight,185,149,52,1.01,677.0,31.7,2.0,4,Strength,2,1350.5,2329.6,Weight Loss,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
39,Female,55.4,1.6,160.0,21.64,Normal,192,136,72,1.44,979.0,26.3,1.6,3,HIIT,2,1198.0,1856.9,Maintain Fitness,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
44,Female,61.7,1.55,155.0,25.68,Overweight,196,129,66,1.41,819.0,33.1,2.6,4,Strength,2,1204.8,2078.3,Weight Loss,Moderately Fit,High Protein Veg Diet,Progressive Strength Training
52,Male,85.5,1.82,182.0,25.81,Overweight,174,154,57,1.78,1357.0,14.9,3.5,4,Yoga,3,1737.5,2997.2,Weight Loss,Fit,Balanced Maintenance Diet,Active Lifestyle Routine
18,Male,87.6,1.93,193.0,23.52,Normal,161,139,72,1.72,1315.0,11.9,3.5,4,HIIT,3,1997.2,3445.2,Maintain Fitness,Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
52,Male,82.4,1.72,172.0,27.85,Overweight,166,137,53,1.01,685.0,24.4,2.7,4,Strength,2,1644.0,2835.9,Weight Loss,Moderately Fit,High Protein Non-Veg Diet,Progressive Strength Training
54,Male,67.0,1.68,168.0,23.74,Normal,191,164,63,0.55,446.0,20.5,2.8,3,Yoga,1,1455.0,2255.2,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
31,Female,42.3,1.6,160.0,16.52,Underweight,163,163,70,1.09,888.0,25.1,1.9,3,Cardio,2,1107.0,1715.9,Weight Gain,Moderately Fit,High Carb Performance Diet,Cardio Endurance Training
20,Male,82.7,1.99,199.0,20.88,Normal,179,146,59,1.69,1357.0,14.6,3.5,5,HIIT,3,1975.8,3754.0,Maintain Fitness,Fit,High Protein Non-Veg Diet,Intermediate Cardio + HIIT
18,Male,92.4,1.74,174.0,30.52,Obese,195,168,50,1.41,1303.0,21.3,3.1,2,Yoga,1,1926.5,2648.9,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
22,Female,63.2,1.54,154.0,26.65,Overweight,191,155,53,1.02,790.0,29.5,2.4,4,Cardio,2,1323.5,2283.0,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
43,Male,82.7,1.85,185.0,24.16,Normal,187,142,50,1.22,858.0,28.2,3.1,4,Yoga,2,1773.2,3058.8,Maintain Fitness,Moderately Fit,Balanced Maintenance Diet,Active Lifestyle Routine
31,Male,86.6,1.76,176.0,27.96,Overweight,172,151,66,1.29,1071.0,28.9,3.3,3,Strength,2,1816.0,2814.8,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Progressive Strength Training
56,Male,129.5,1.95,195.0,34.06,Obese,160,129,66,1.0,639.0,25.2,3.5,2,Strength,1,2238.8,3078.4,Weight Loss,Needs Improvement,High Protein Non-Veg Diet,Beginner Fitness Routine
44,Male,98.0,1.83,183.0,29.26,Overweight,194,130,56,1.28,824.0,25.7,3.5,4,Cardio,2,1908.8,3292.7,Weight Loss,Moderately Fit,Low Calorie Balanced Diet,Cardio Endurance Training
26,Male,86.2,1.68,168.0,30.54,Obese,189,157,72,1.97,1701.0,13.3,3.5,5,Strength,3,1787.0,3395.3,Weight Loss,Fit,High Protein Non-Veg Diet,Compound Strength Training
32,Male,78.6,1.62,162.0,29.95,Overweight,195,125,69,1.28,880.0,29.6,3.1,3,Yoga,1,1643.5,2547.4,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
32,Female,59.0,1.66,166.0,21.41,Normal,184,160,64,0.51,408.0,31.0,1.8,2,Cardio,1,1306.5,1796.4,Improve Stamina,Needs Improvement,High Carb Performance Diet,Beginner Cardio + Walking
43,Female,57.3,1.79,179.0,17.88,Underweight,175,166,62,1.98,1479.0,17.8,2.7,4,Yoga,3,1315.8,2269.8,Weight Gain,Fit,Balanced Maintenance Diet,Active Lifestyle Routine
59,Male,122.3,1.89,189.0,34.24,Obese,178,153,51,0.66,500.0,20.1,3.1,3,Yoga,1,2114.2,3277.0,Weight Loss,Needs Improvement,Balanced Maintenance Diet,Active Lifestyle Routine
